인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:23:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코어 수,6,6,12,12,12,14,12,12,12,12,12,6,4,8,6,8,6,4,6,8,8,4,4,4,4,8,14,16,14,10,14,12,12,10,10,10,10,10,16,14,14,14,16,16,16,16,16,10,10,14,14,10,16,14,10,14,14,12,10,20,14,16,16,14,10,14,14,14,10,10,16,20,20,20,20,20,20,2,4,4,4,4,4,4,4,2
총 스레드 수,12,12,20,16,20,20,20,20,20,20,20,12,8,8,12,8,12,8,12,16,16,8,8,8,8,16,20,24,20,16,20,16,16,12,12,12,12,12,24,20,20,20,24,24,24,24,24,12,12,20,20,16,24,20,12,20,20,16,12,28,20,24,24,20,12,20,20,20,12,12,24,28,28,28,28,28,28,4,8,8,8,8,8,8,8,4
최대 터보 주파수,4.60 GHz,4.00 GHz,4.60 GHz,,4.80 GHz,4.70 GHz,4.90 GHz,4.90 GHz,5.00 GHz,5.00 GHz,4.70 GHz,4.30 GHz,4.40 GHz,4.40 GHz,4.40 GHz,3.80 GHz,4.10 GHz,4.90 GHz,5.00 GHz,4.40 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.80 GHz,5.00 GHz,4.70 GHz,,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.70 GHz,,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.40 GHz,5.20 GHz,5.20 GHz,4.90 GHz,5.40 GHz,4.70 GHz,4.80 GHz,4.90 GHz,5.00 GHz,4.90 GHz,4.80 GHz,5.00 GHz,5.20 GHz,5.20 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.30 GHz,5.20 GHz,5.00 GHz,5.10 GHz,4.80 GHz,4.90 GHz,4.8 GHz,4.80 GHz,5.00 GHz,4.9 GHz,4.90 GHz,5.2 GHz,5.5 GHz,5.4 GHz,5.6 GHz,5.6 GHz,5.2 GHz,5.4 GHz,3.40 GHz,4.00 GHz,3.40 GHz,3.50 GHz,2.80 GHz,3.80 GHz,3.70 GHz,4.20 GHz,3.90 GHz
인텔® 터보 부스트 기술 2.0 주파수‡,4.60 GHz,4.00 GHz,4.60 GHz,,4.80 GHz,,,,,,,4.30 GHz,,4.40 GHz,4.40 GHz,3.80 GHz,4.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40 GHz,4.00 GHz,3.40 GHz,3.50 GHz,2.80 GHz,3.80 GHz,3.70 GHz,4.20 GHz,3.90 GHz
프로세서 기본 주파수,3.20 GHz,2.40 GHz,,,,,,,,,,2.60 GHz,1.70 GHz,2.60 GHz,2.70 GHz,1.80 GHz,1.90 GHz,1.80 GHz,2.60 GHz,2.00 GHz,2.90 GHz,1.80 GHz,1.80 GHz,,,,2.40 GHz,,,,,,,,,,,,,2.30 GHz,,2.40 GHz,,,,,,1.70 GHz,1.80 GHz,,,,1.10 GHz,,,,2.50 GHz,,,,,,1.90 GHz,1.90 GHz,1.70 GHz,1.90 GHz,1.90 GHz,2.50 GHz,1.70 GHz,1.70 GHz,,,,,,,,2.60 GHz,3.40 GHz,2.40 GHz,2.80 GHz,2.00 GHz,2.90 GHz,3.00 GHz,3.60 GHz,2.80 GHz
캐시,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,25 MB Intel® Smart Cache,18 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,25 MB Intel® Smart Cache,9 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB,9 MB,12 MB,9 MB,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,25 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,30 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache
버스 속도,8 GT/s,8 GT/s,,,,,,,,,,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,8 GT/s,4 GT/s
TDP,65 W,35 W,,,,,,,,,,45 W,15 W,65 W,45 W,35 W,25 W,15 W,45 W,35 W,65 W,15 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,,15 W,15 W,,,,35 W,,,,45 W,,,,,,65 W,28 W,15 W,28 W,28 W,45 W,15 W,15 W,,,,,,,,15 W,65 W,35 W,45 W,25 W,35 W,45 W,65 W,15 W
Configurable TDP-down Frequency,,1.90 GHz,,,,,,,,,,2.10 GHz,1.30 GHz,,,,,800 MHz,,,,1.20 GHz,1.20 GHz,1.20 GHz,1.30 GHz,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,,,,,1.90 GHz,,,800 MHz
Configurable TDP-down,,25 W,,,,,,,,,,35 W,12.5 W,,35 W,,,10 W,35 W,,,12 W,12 W,12 W,12 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 W,,,,,25 W,35 W,,7.5 W
# of Performance-cores,,,8,4,8,6,8,8,8,8,8,,,,,,,,,,,,,,,,6,8,6,6,6,4,4,2,2,2,2,2,8,6,6,6,8,8,8,8,8,2,2,6,6,6,8,6,2,6,6,4,2,8,6,8,8,6,2,6,6,6,2,2,8,8,8,8,8,8,8,,,,,,,,,
# of Efficiency-cores,,,4,8,4,8,4,4,4,4,4,,,,,,,,,,,,,,,,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,8,8,12,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,,,,,,,,,
Single P-core Turbo Frequency,,,4.60 GHz,4.50 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.90 GHz,4.90 GHz,4.60 GHz,,,,,,,,,,,,,,,,4.60 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.70 GHz,4.70 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.80 GHz,5.30 GHz,5.10 GHz,5.10 GHz,4.80 GHz,5.30 GHz,4.70 GHz,4.80 GHz,4.90 GHz,5.00 GHz,4.90 GHz,4.80 GHz,5.00 GHz,5.20 GHz,5.20 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.30 GHz,5.20 GHz,5.00 GHz,5.10 GHz,4.80 GHz,4.90 GHz,4.8 GHz,4.80 GHz,5.00 GHz,4.9 GHz,4.90 GHz,5.2 GHz,5.5 GHz,5.3 GHz,5.5 GHz,5.5 GHz,5 GHz,5.3 GHz,,,,,,,,,
Single E-core Turbo Frequency,,,3.40 GHz,3.30 GHz,3.60 GHz,3.50 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.40 GHz,,,,,,,,,,,,,,,,3.50 GHz,3.40 GHz,3.70 GHz,3.50 GHz,3.60 GHz,3.40 GHz,3.50 GHz,3.60 GHz,3.50 GHz,3.50 GHz,3.50 GHz,3.50 GHz,3.40 GHz,3.50 GHz,3.30 GHz,3.70 GHz,4.20 GHz,4.10 GHz,4.10 GHz,3.60 GHz,4.20 GHz,2.60 GHz,2.70 GHz,3.60 GHz,3.70 GHz,3.60 GHz,3.60 GHz,3.70 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.70 GHz,3.70 GHz,3.80 GHz,4.00 GHz,3.70 GHz,3.90 GHz,3.70 GHz,3.70 GHz,3.7 GHz,3.70 GHz,4.00 GHz,3.7 GHz,3.70 GHz,3.7 GHz,3.9 GHz,4.2 GHz,4.3 GHz,4.3 GHz,3.7 GHz,4.2 GHz,,,,,,,,,
P-core Base Frequency,,,1.40 GHz,,2.10 GHz,,2.10 GHz,2.10 GHz,3.60 GHz,3.60 GHz,1.40 GHz,,,,,,,,,,,,,,,,2.40 GHz,,,,,,,,,,,,,,,,3.40 GHz,2.10 GHz,2.10 GHz,1.40 GHz,3.40 GHz,,,,,,1.10 GHz,,,,,,,,,,1.90 GHz,,,,,,,,2.2 GHz,2.1 GHz,2.1 GHz,3.4 GHz,3.4 GHz,1.3 GHz,2.1 GHz,,,,,,,,,
E-core Base Frequency,,,1.00 GHz,,1.60 GHz,,1.60 GHz,1.60 GHz,2.70 GHz,2.70 GHz,1.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 GHz,1.50 GHz,1.50 GHz,1.00 GHz,2.50 GHz,,,,,,800 MHz,,,,,,,,,,1.30 GHz,,,,,,,,1.6 GHz,1.5 GHz,1.5 GHz,2.5 GHz,2.5 GHz,900 MHz,1.5 GHz,,,,,,,,,
Total L2 Cache,,,12 MB,,12 MB,,12 MB,12 MB,12 MB,12 MB,12 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 MB,24 MB,24 MB,24 MB,24 MB,,,,,,24 MB,,,,,,,,,,24 MB,,,,,,,,,,28 MB,28 MB,28 MB,28 MB,28 MB,,,,,,,,,
Processor Base Power,,,35 W,28 W,65 W,45 W,65 W,65 W,125 W,125 W,35 W,,,,,,,,,,,,,,,,45 W,55 W,45 W,45 W,28 W,28 W,28 W,15 W,15 W,9 W,9 W,15 W,55 W,45 W,55 W,45 W,125 W,65 W,65 W,35 W,125 W,15 W,15 W,55 W,45 W,45 W,35 W,45 W,15 W,28 W,45 W,28 W,15 W,55 W,45 W,55 W,65 W,28 W,15 W,28 W,28 W,45 W,15 W,15 W,55 W,55 W,65 W,125 W,125 W,35 W,65 W,,,,,,,,,
Maximum Turbo Power,,,,64 W,,115 W,180 W,180 W,190 W,190 W,99 W,,,,,,,,,,,,,,,,115 W,157 W,115 W,115 W,64 W,64 W,64 W,55 W,55 W,29 W,29 W,55 W,157 W,,157 W,,253 W,219 W,219 W,106 W,253 W,,,157 W,115 W,115 W,,115 W,55 W,64 W,115 W,64 W,55 W,157 W,115 W,157 W,,64 W,55 W,64 W,64 W,115 W,55 W,55 W,157 W,157 W,219 W,253 W,253 W,106 W,219 W,,,,,,,,,
Minimum Assured Power,,,,20 W,,35 W,,,,,,,,,,,,,,,,,,,,,35 W,45 W,35 W,35 W,20 W,20 W,20 W,12 W,12 W,,,12 W,45 W,35 W,45 W,35 W,,,,,,12 W,12 W,45 W,35 W,35 W,,35 W,12 W,20 W,35 W,20 W,12 W,45 W,35 W,45 W,,20 W,12 W,20 W,20 W,35 W,12 W,12 W,45 W,45 W,,,,,,,,,,,,,,
Maximum Assured Power,,,,35 W,,,,,,,,,,,,,,,,,,,,,,,65 W,,,,,,,,,,,28 W,,65 W,,65 W,,,,,,28 W,28 W,,,,,,,,65 W,,,,,,,35 W,28 W,35 W,35 W,65 W,28 W,28 W,,,,,,,,,,,,,,,,
