인텔® 제품 사양 비교
2024/05/02 22:36:26
 ,Intel® Core™ Ultra 7 processor 155H ,Intel® Core™ Ultra 5 processor 125H ,Intel® Core™ Ultra 9 processor 185H ,Intel® Core™ Ultra 5 processor 135H ,Intel® Core™ Ultra 7 processor 165H ,Intel® Core™ Ultra 7 processor 155U ,Intel® Core™ Ultra 5 processor 135U ,Intel® Core™ Ultra 7 processor 165U ,Intel® Core™ Ultra 5 processor 125U ,Intel® Core™ Ultra 5 processor 134U ,Intel® Core™ Ultra 7 processor 164U ,Intel® Core™ Ultra 3 processor 105UL ,Intel® Core™ Ultra 5 processor 125HL ,Intel® Core™ Ultra 5 processor 125UL ,Intel® Core™ Ultra 5 processor 135HL ,Intel® Core™ Ultra 5 processor 135UL ,Intel® Core™ Ultra 7 processor 155HL ,Intel® Core™ Ultra 7 processor 155UL ,Intel® Core™ Ultra 7 processor 165HL ,Intel® Core™ Ultra 7 processor 165UL 
CPU에서 지원하는 AI 소프트웨어 프레임워크,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT,OpenVINO™ |  WindowsML |  ONNX RT
Maximum Assured Power,,,,,,,,,,,,28 W,65 W,28 W,65 W,28 W,65 W,28 W,65 W,28 W
AI Datatype Support on CPU,,,,,,,,,,,,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32,Int8 |  FP16 |  BF16 |  FP32

보조 정보
상태,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
출시일,Q4'23,Q4'23,Q4'23,q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24,Q2'24
사용 가능한 임베디드 옵션,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
데이터시트,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기,지금 보기

