인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코어 수,4,4,4,4,8,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,8,4,4,4,10,6,6,6,6,8,4,4,4,6,8,8,4,6,8,4,8,5,6,6,8,8,6,4,4,4,2,2,2,2,2,2,2,2,2,2
총 스레드 수,4,8,8,8,12,8,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,8,12,8,8,8,12,8,8,8,8,12,8,8,8,8,8,8,8,8,12,8,12,6,8,8,12,12,8,8,8,8,4,4,4,4,4,4,4,4,4,4
프로세서 기본 주파수,3.10 GHz,,,,1.90 GHz,,3.00 GHz,2.20 GHz,3.10 GHz,1.60 GHz,2.20 GHz,2.10 GHz,3.80 GHz,3.70 GHz,3.00 GHz,3.60 GHz,3.00 GHz,3.90 GHz,3.00 GHz,3.80 GHz,3.70 GHz,3.00 GHz,3.60 GHz,3.70 GHz,3.20 GHz,2.30 GHz,2.20 GHz,2.20 GHz,,2.00 GHz,,,,,,,,,,,,,1.20 GHz,,,2.40 GHz,,2.10 GHz,3.30 GHz,1.70 GHz,,1.20 GHz,,1.70 GHz,2.10 GHz,1.20 GHz,,,,2.30 GHz,2.70 GHz,2.70 GHz,1.90 GHz,3.70 GHz,2.40 GHz,2.10 GHz,3.40 GHz,3.90 GHz,2.90 GHz
캐시,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB,6 MB,6 MB,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB
버스 속도,8 GT/s,,,,,,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,,8 GT/s,,
TDP,35 W,,,,,,45 W,15 W,65 W,25 W,35 W,15 W,65 W,65 W,35 W,65 W,35 W,65 W,35 W,65 W,65 W,35 W,65 W,65 W,65 W,35 W,15 W,15 W,,,,,,,,,,,,,,,15 W,15 W,7 W,35 W,,45 W,60 W,28 W,,15 W,,28 W,45 W,15 W,,,,15 W,35 W,35 W,25 W,51 W,15 W,25 W,35 W,54 W,35 W
구성 가능한 TDP-down 주파수,2.40 GHz,,,,,,2.60 GHz,1.60 GHz,,,,800 MHz,,,2.50 GHz,,2.40 GHz,,2.40 GHz,,,2.50 GHz,,,,,1.70 GHz,1.70 GHz,1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,,,,,800 MHz,,,,
구성 가능한 TDP-down,25 W,,,,,,35 W,12.5 W,,,,10 W,,,25 W,,25 W,,25 W,,,25 W,,,,,12 W,12 W,35 W,,,,,,,,,,,,,,,9 W,,,,,,,,,,,,,,,,7.5 W,,,,,7.5 W,,,,
# of Performance-cores,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,2,2,2,2,4,4,4,4,2,,,4,2,4,4,4,1,2,2,4,4,2,4,4,4,,,,,,,,,,
# of Efficiency-cores,,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,8,4,4,4,4,4,0,0,0,4,,,0,4,4,0,4,4,4,4,4,4,4,0,0,0,,,,,,,,,,
