인텔® 제품 사양 비교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/04/05 01:27:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코어 수,6,6,12,8,6,6,10,10,4,4,6,6,4,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,12,10,10,10,10,10,12,10,12,8,12,12,14,14,10,10,14,14,10,14,14,10,10,12,12,14,12,10,10,12,14,10,12,12,10,12,10,14,14,12,8,10,10,12,12,12,10,10,14,10,14,14,14,14,10,10,14,14,4,4,2,4,4,6,12,6,6,6,6,6,12,12,4,4,2,4,4
총 스레드 수,6,6,16,12,12,12,16,16,8,8,6,6,8,12,12,12,12,12,12,12,12,12,12,12,8,8,12,12,16,12,12,12,12,12,16,12,16,12,16,16,20,20,16,16,20,20,16,20,20,12,12,16,16,20,16,12,16,16,20,12,16,16,16,16,12,20,20,16,12,12,12,16,16,16,12,16,20,16,20,20,20,20,16,16,20,20,4,4,4,4,4,12,16,12,12,12,12,12,16,16,4,4,4,4,4
최대 터보 주파수,4.10 GHz,3.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.20 GHz,4.10 GHz,4.20 GHz,3.60 GHz,4.20 GHz,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,4.50 GHz,3.70 GHz,4.20 GHz,4.10 GHz,4.10 GHz,4.50 GHz,4.20 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,,,4.60 GHz,4.40 GHz,4.50 GHz,4.50 GHz,5.1 GHz,5.1 GHz,4.60 GHz,4.60 GHz,4.8 GHz,5 GHz,4.40 GHz,4.60 GHz,4.80 GHz,4.40 GHz,4.40 GHz,4.70 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.80 GHz,4.70 GHz,4.50 GHz,4.60 GHz,4.50 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,4.60 GHz,4.8 GHz,4.9 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.1 GHz,5 GHz,4.7 GHz,4.5 GHz,5.3 GHz,5.2 GHz,3.60 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.70 GHz,4.40 GHz,4.50 GHz,4.30 GHz,4.50 GHz,4.60 GHz,4.80 GHz,4.60 GHz,4.50 GHz,,3.30 GHz,3.80 GHz,3.50 GHz,3.60 GHz,2.90 GHz
인텔® 터보 부스트 기술 2.0 주파수‡,4.10 GHz,3.50 GHz,,,,,,,4.20 GHz,,4.20 GHz,3.60 GHz,,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,,3.70 GHz,4.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60 GHz,3.30 GHz,3.00 GHz,3.40 GHz,2.70 GHz,,,,,,,,,,3.30 GHz,3.80 GHz,3.50 GHz,3.60 GHz,2.90 GHz
프로세서 기본 주파수,3.00 GHz,2.10 GHz,,,,,,,2.50 GHz,1.60 GHz,3.00 GHz,2.20 GHz,1.60 GHz,2.90 GHz,3.30 GHz,2.30 GHz,2.00 GHz,3.10 GHz,2.90 GHz,2.40 GHz,3.20 GHz,2.50 GHz,2.30 GHz,3.10 GHz,1.50 GHz,1.50 GHz,,,,,,,,,,,,,2.70 GHz,2.50 GHz,,,,,,,,,,1.60 GHz,1.30 GHz,,,1.30 GHz,,,,1.80 GHz,2.40 GHz,,,,2.40 GHz,2.70 GHz,,,,1.80 GHz,,1.30 GHz,1.40 GHz,,2.70 GHz,1.80 GHz,1.40 GHz,,,,,,,,,,,,3.20 GHz,2.30 GHz,2.40 GHz,2.70 GHz,1.90 GHz,,,,,,,,,2.50 GHz,2.70 GHz,3.40 GHz,2.60 GHz,2.90 GHz,2.10 GHz
캐시,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,9 MB,9 MB,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,20 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,3 MB Intel® Smart Cache,6 MB,6 MB
버스 속도,8 GT/s,8 GT/s,,,,,,,8 GT/s,4 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,,,,,,,,,,8 GT/s,8 GT/s,4 GT/s,8 GT/s,
TDP,65 W,35 W,,,,,,,45 W,15 W,65 W,35 W,15 W,65 W,65 W,35 W,35 W,65 W,65 W,35 W,65 W,45 W,35 W,65 W,15 W,15 W,,,,,,,,,,,,,,,,,,,,,,,,15 W,15 W,,,35 W,,,,,65 W,,,,65 W,,,,,,,,15 W,,45 W,28 W,15 W,,,,,,,,,,,,65 W,35 W,15 W,45 W,25 W,,,,,,,,,,35 W,65 W,15 W,45 W,25 W
Configurable TDP-down Frequency,,1.60 GHz,,,,,,,2.00 GHz,1.10 GHz,,,800 MHz,,,1.70 GHz,1.30 GHz,,,1.90 GHz,,,,,1.10 GHz,1.10 GHz,2.10 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,,,,,,,,,,,,1.70 GHz,,800 MHz,,
Configurable TDP-down,,25 W,,,,,,,35 W,12.5 W,,,10 W,,,25 W,25 W,,,25 W,,35 W,,,12 W,12 W,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 W,,,,,,,,,,,,,,7.5 W,35 W,
