Product Name,Specifications
SuperFlower  SF-1000F14XP LEADEX VII PRO PLATINUM BLACK ATX 3.1 (PCIE5),"ATX 파워, 정격출력:1000W, 80 PLUS 플레티넘, ETA인증:PLATINUM, LAMBDA인증:STANDARD++, 140mm, 깊이:150mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):4개, SATA:12개, IDE 4핀:4개, [부가기능], 팬리스모드, 프리볼트, 24년 3월 ATX 3.0 → ATX 3.1 인증추가로 변경 / PCIe 16핀(12+4) 12VHPWR → 12V2x6로 변경"
시소닉  NEW FOCUS GX-1000 GOLD Full Modular ATX 3.0,"ATX 파워, 정격출력:1000W, 80 PLUS 골드, +12V 싱글레일, 액티브PFC, PF(역률):99%, 135mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):3개, SATA:8개, SATA3.3:2개, IDE 4핀:3개, [부가기능], 팬리스모드, 자동 팬 조절"
시소닉  FOCUS GOLD GM-750 Modular,"ATX 파워, 정격출력:750W, 80 PLUS 골드, 전압변동:±3%, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 세미모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):4개, SATA:8개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만, 프리볼트, 플랫케이블"
마이크로닉스  Classic II 750W 80PLUS GOLD 230V EU 풀모듈러,"ATX 파워, 정격출력:750W, 80 PLUS 골드, 전압변동:±0.2%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:8개, IDE 4핀:4개, FDD:1개, [부가기능], 팬리스모드, 자동 팬 조절, 수동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※2023.04 12VHPWR 스펙 변경"
마이크로닉스 COOLMAX VISION II 500W,"ATX 파워, 정격출력:500W, 전압변동:±0.3%, +12V 싱글레일, +12V 가용률:100%, 120mm 팬, 깊이:140mm, 무상 5년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 8핀(6+2):2개, SATA:4개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만"
마이크로닉스 COOLMAX P-1050W 80PLUS PLATINUM ATX 3.0 (PCIE5),"ATX 파워, 정격출력:1050W, 80 PLUS 플레티넘, 전압변동:±1.5%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:10개, IDE 4핀:4개, 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블"
마이크로닉스  Classic II 풀체인지 500W 80PLUS BRONZE 230V EU,"ATX 파워, 정격출력:500W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD++, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4핀 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:3개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년"
마이크로닉스  Classic II 850W 80PLUS GOLD 230V EU 풀모듈러 화이트,"ATX 파워, 정격출력:850W, 80 PLUS 골드, 전압변동:±0.5%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:8개, IDE 4핀:4개, FDD:1개, [부가기능], 팬리스모드, 자동 팬 조절, 수동 팬 조절, 대기전력 1W 미만, 플랫케이블, 23년 5월 커넥터 : CPU 8+4+4 (2개), PCIE 6+2 (3개) → CPU 8+4+4 (1개), PCIE 6+2 (2개), 12VHPWR (1개)로 변경"
시소닉  FOCUS GOLD GM-850 Modular,"ATX 파워, 정격출력:850W, 80 PLUS 골드, 전압변동:±3%, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 세미모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):6개, SATA:8개, IDE 4핀:3개, [부가기능], 자동 팬 조절, 대기전력 1W 미만, 프리볼트, 플랫케이블"
맥스엘리트  MAXWELL PRIMO 600W 80PLUS STANDARD 플랫,"ATX 파워, 정격출력:600W, 80 PLUS 스탠다드, +12V 싱글레일, +12V 가용률:96%, 액티브PFC, PF(역률):95%, 120mm 팬, 깊이:140mm, 무상 5년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 8핀(6+2):2개, SATA:4개, IDE 4핀:2개, [부가기능], 대기전력 1W 미만, 플랫케이블"
SuperFlower  SF-850F14XG LEADEX VII GOLD ATX 3.0 (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 골드, ETA인증:PLATINUM, LAMBDA인증:A, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 140mm, 깊이:150mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):3개, SATA:12개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 프리볼트, 플랫케이블"
마이크로닉스  Classic II 풀체인지 700W 80PLUS BRONZE 230V EU 화이트,"ATX 파워, 정격출력:700W, 80 PLUS 브론즈, ETA인증:BRONZE, LAMBDA인증:STANDARD, 전압변동:±0.3%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8+4+4핀 1개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:4개, [부가기능], 팬리스모드, 자동 팬 조절, 대기전력 1W 미만, 플랫케이블, ※ 80PLUS 인증 등급 상향: 스탠다드→브론즈 / 무상 보증 기한 연장: 6년→7년 / 23년 5월 커넥터  PCIe 6+2 (4개) → PCIe 6+2 (2개), 12VHPWR 12+4 (1개)로 변경 / 23년 7월 팬리스 모드 추가"
MSI MAG A850GL 80PLUS 골드 풀 모듈러 ATX 3.0 (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 골드, ETA인증:PLATINUM, LAMBDA인증:STANDARD+, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, 120mm 팬, 깊이:140mm, 무상 7년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):4개, SATA:8개, IDE 4핀:4개, FDD:1개, 프리볼트, 플랫케이블"
잘만  EcoMax 500W,"ATX 파워, 정격출력:500W, +12V 다중레일, +12V 가용률:91%, 120mm 팬, 깊이:140mm, 무상 3년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 8핀(6+2):2개, SATA:4개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만"
darkFlash  UPMOST 850W 80PLUS GOLD FULL MODULAR 화이트,"ATX 파워, 정격출력:850W, 80 PLUS 골드, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):3개, SATA:8개, IDE 4핀:4개, FDD:1개, [부가기능], 팬리스모드, 프리볼트, 플랫케이블"
MSI MPG A750G 80PLUS 골드 풀 모듈러 ATX 3.0 (PCIE5),"ATX 파워, 정격출력:750W, 80 PLUS 골드, ETA인증:GOLD, LAMBDA인증:A, +12V 싱글레일, 135mm 팬, 깊이:150mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀, 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):6개, SATA:8개, IDE 4핀:4개, FDD:1개, 팬리스모드, 자동 팬 조절, 프리볼트, 플랫케이블"
마이크로닉스 COOLMAX VISION II 600W,"ATX 파워, 정격출력:600W, 전압변동:±0.8%, +12V 싱글레일, +12V 가용률:100%, 120mm 팬, 깊이:140mm, 무상 5년, [커넥터], 케이블일체형, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 1개, PCIe 8핀(6+2):2개, SATA:4개, IDE 4핀:3개, [부가기능], 대기전력 1W 미만"
시소닉  NEW FOCUS GX-750 GOLD Full Modular ATX 3.0,"ATX 파워, 정격출력:750W, 80 PLUS 골드, +12V 싱글레일, 액티브PFC, PF(역률):99%, 135mm 팬, 깊이:150mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):2개, SATA:8개, SATA3.3:2개, IDE 4핀:3개, 팬리스모드, 자동 팬 조절"
NEWZEN  SKULL 850SM MODULAR ATX 3.0 80PLUS GOLD (PCIE5),"ATX 파워, 정격출력:850W, 80 PLUS 골드, 전압변동:±1%, +12V 싱글레일, +12V 가용률:100%, 액티브PFC, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 세미모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12V2x6 1개, PCIe 8핀(6+2):2개, SATA:6개, IDE 4핀:3개, [부가기능], 자동 팬 조절, 프리볼트, 플랫케이블, 24년 1월 PCIe 16핀 12VHPWR 1개 → 12V-2x6 1개로 변경"
몬스타 가츠 ExtremeX FX700 80PLUS STANDARD,"ATX 파워, 정격출력:700W, 80 PLUS 스탠다드, +12V 싱글레일, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 6년, [커넥터], 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 8핀(6+2):2개, SATA:7개, IDE 4핀:2개, [부가기능], 대기전력 1W 미만, 플랫케이블"
맥스엘리트  MAXWELL DUKE 1000W 80PLUS PLATINUM 풀모듈러 ATX 3.0 WHITE,"ATX 파워, 정격출력:1000W, 80 PLUS 플레티넘, ETA인증:PLATINUM, LAMBDA인증:A-, +12V 싱글레일, +12V 가용률:99%, 액티브PFC, PF(역률):99%, 120mm 팬, 깊이:140mm, 무상 10년, [커넥터], 풀모듈러, 메인전원:24핀(20+4), 보조전원:8핀(4+4) 2개, PCIe 16핀(12+4):12VHPWR 1개, PCIe 8핀(6+2):4개, SATA:12개, IDE 4핀:6개, [부가기능], 팬리스모드, 자동 팬 조절, 수동 팬 조절, 대기전력 1W 미만, 프리볼트"
