Product Name,Main Specs,Additional Specs,Derived Models
Intel Iris Plus Graphics 645 Mobile,"Graphics Processor: Coffee Lake GT3e
Cores: 384
TMUs: 48
ROPs: 6
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Coffee Lake GT3e
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm+++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Oct 7th, 2019
Generation: HD Graphics-M (Coffee Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1050 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 384
TMUs: 48
ROPs: 6
Execution Units: 48

Theoretical Performance:
Pixel Rate: 6.300 GPixel/s
Texture Rate: 50.40 GTexel/s
FP16 (half): 1.613 TFLOPS (2:1)
FP32 (float): 806.4 GFLOPS
FP64 (double): 201.6 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.4

",없음
Intel Iris Plus Graphics G4 48EU Mobile,"Graphics Processor: Ice Lake GT1
Cores: 384
TMUs: 24
ROPs: 8
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Ice Lake GT1
Architecture: Generation 11.0
Foundry: Intel
Process Size: 10 nm+
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: May 29th, 2019
Generation: HD Graphics-M (Ice Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1050 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 384
TMUs: 24
ROPs: 8
Execution Units: 48

Theoretical Performance:
Pixel Rate: 8.400 GPixel/s
Texture Rate: 25.20 GTexel/s
FP16 (half): 1.613 TFLOPS (2:1)
FP32 (float): 806.4 GFLOPS
FP64 (double): 201.6 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
Intel UHD Graphics 24EU Mobile,"Graphics Processor: Comet Lake GT2
Cores: 192
TMUs: 24
ROPs: 3
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Comet Lake GT2
Architecture: Generation 9.5
Foundry: Intel
Process Size: 14 nm+++
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: Aug 21st, 2019
Generation: HD Graphics-M (Comet Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 1000 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 192
TMUs: 24
ROPs: 3
Execution Units: 24

Theoretical Performance:
Pixel Rate: 3.000 GPixel/s
Texture Rate: 24.00 GTexel/s
FP16 (half): 768.0 GFLOPS (2:1)
FP32 (float): 384.0 GFLOPS
FP64 (double): 96.00 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

","기반 제품명:Intel UHD Graphics 10110U -해당 제품의 바뀐 사항 GPU Clock: 300 MHz, Boost Clock: 1000 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10210U -해당 제품의 바뀐 사항 GPU Clock: 300 MHz, Boost Clock: 1100 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10300H -해당 제품의 바뀐 사항 GPU Clock: 350 MHz, Boost Clock: 1050 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10510U -해당 제품의 바뀐 사항 GPU Clock: 300 MHz, Boost Clock: 1150 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10710U -해당 제품의 바뀐 사항 GPU Clock: 300 MHz, Boost Clock: 1150 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10750H -해당 제품의 바뀐 사항 GPU Clock: 350 MHz, Boost Clock: 1150 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10875H -해당 제품의 바뀐 사항 GPU Clock: 350 MHz, Boost Clock: 1200 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
기반 제품명:Intel UHD Graphics 10980HK -해당 제품의 바뀐 사항 GPU Clock: 350 MHz, Boost Clock: 1250 MHz, Memory Clock: System Shared, 외의 바뀐 사항: 
"
Intel UHD Graphics G1 32EU Mobile,"Graphics Processor: Ice Lake GT1
Cores: 256
TMUs: 16
ROPs: 8
Memory Size: System Shared
Memory Type: System Shared
Bus Width: System Shared","Graphics Processor:
GPU Name: Ice Lake GT1
Architecture: Generation 11.0
Foundry: Intel
Process Size: 10 nm+
Transistors: unknown
Die Size: unknown

Integrated Graphics:
Release Date: May 29th, 2019
Generation: HD Graphics-M (Ice Lake)
Production: Active
Bus Interface: Ring Bus
Reviews: 3 in our database

Clock Speeds:
Base Clock: 300 MHz
Boost Clock: 900 MHz
Memory Clock: System Shared

Memory:
Memory Size: System Shared
Memory Type: System Shared
Memory Bus: System Shared
Bandwidth: System Dependent

Render Config:
Shading Units: 256
TMUs: 16
ROPs: 8
Execution Units: 32

Theoretical Performance:
Pixel Rate: 7.200 GPixel/s
Texture Rate: 14.40 GTexel/s
FP16 (half): 921.6 GFLOPS (2:1)
FP32 (float): 460.8 GFLOPS
FP64 (double): 115.2 GFLOPS (1:4)

Board Design:
Slot Width: IGP
TDP: 15 W
Outputs: Portable Device Dependent

Graphics Features:
DirectX: 12 (12_1)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
Shader Model: 6.5

",없음
